time,operating_reserve,備轉容量率(%)
2021/1/1,276.7,10.77
2021/1/2,293.6,11.52
2021/1/3,303.7,11.92
2021/1/4,303.2,10.2
2021/1/5,306.7,10.21
2021/1/6,310.2,10.23
2021/1/7,310.2,10.17
2021/1/8,310.5,10.21
2021/1/9,320.2,11.41
2021/1/10,290.6,10.66
2021/1/11,309.3,10.08
2021/1/12,311.6,10.17
2021/1/13,311.4,10.38
2021/1/14,313.2,10.43
2021/1/15,331,11.2
2021/1/16,304.6,11.23
2021/1/17,303.5,11.36
2021/1/18,315.7,10.55
2021/1/19,315.9,10.53
2021/1/20,314.9,10.5
2021/1/21,307.4,10.15
2021/1/22,309.7,10.29
2021/1/23,320.3,11.77
2021/1/24,307.3,11.95
2021/1/25,326.9,10.97
2021/1/26,321.9,10.75
2021/1/27,306.4,10.36
2021/1/28,328.6,11.12
2021/1/29,320.3,10.94
2021/1/30,344.7,12.93
2021/1/31,290.6,11.41
2021/2/1,293.8,10.12
2021/2/2,304.5,10.24
2021/2/3,300.6,10.15
2021/2/4,313.2,10.56
2021/2/5,306,10.45
2021/2/6,306.6,11.49
2021/2/7,276.3,10.66
2021/2/8,304.7,10.92
2021/2/9,288,11.03
2021/2/10,288.8,11.85
2021/2/11,283.3,12.8
2021/2/12,299.2,13.65
2021/2/13,302.4,13.77
2021/2/14,291.1,12.97
2021/2/15,264.5,11.27
2021/2/16,300.2,12.15
2021/2/17,282.4,10.13
2021/2/18,290.7,10.19
2021/2/19,288.5,10.08
2021/2/20,297.5,10.86
2021/2/21,313.9,12.43
2021/2/22,298.9,10.18
2021/2/23,310.9,10.39
2021/2/24,304.9,10.15
2021/2/25,302.9,10.07
2021/2/26,304.1,10.23
2021/2/27,275.8,10.42
2021/2/28,267.2,10.68
2021/3/1,283.2,10.66
2021/3/2,322.1,10.95
2021/3/3,307.5,10.36
2021/3/4,308.8,10.37
2021/3/5,326.8,10.94
2021/3/6,280.5,10.42
2021/3/7,275.2,10.67
2021/3/8,311,10.45
2021/3/9,304.8,10.18
2021/3/10,305.5,10.22
2021/3/11,307.7,10.24
2021/3/12,327.2,10.93
2021/3/13,307.5,11.48
2021/3/14,293.3,11.44
2021/3/15,307.4,10.22
2021/3/16,308.7,10.06
2021/3/17,318.3,10.36
2021/3/18,321.4,10.46
2021/3/19,313.7,10.16
2021/3/20,283.9,10.23
2021/3/21,318.6,12.4
2021/3/22,322.4,10.89
2021/3/23,353.7,11.9
2021/3/24,305.9,10.18
2021/3/25,327.2,10.96
2021/3/26,327.9,10.96
2021/3/27,320,11.56
2021/3/28,291.9,10.87
2021/3/29,318.1,10.11
2021/3/30,326.2,10.18
2021/3/31,322.9,10.06
2021/4/1,347,10.84
2021/4/2,316,10.86
2021/4/3,305.7,11.06
2021/4/4,299.4,11.87
2021/4/5,287.3,11.02
2021/4/6,320.1,10.73
2021/4/7,324.7,10.86
2021/4/8,329.8,10.96
2021/4/9,321.1,10.89
2021/4/10,296.6,10.98
2021/4/11,284.8,10.7
2021/4/12,320.5,10.29
2021/4/13,319.5,10.1
2021/4/14,323.5,10.57
2021/4/15,320.8,10.45
2021/4/16,332,10.83
2021/4/17,288.3,10.46
2021/4/18,286.3,10.96
2021/4/19,309.1,10.05
2021/4/20,321.4,10.26
2021/4/21,330.2,10.36
2021/4/22,328.5,10.03
2021/4/23,333.5,10.38
2021/4/24,298.9,10.52
2021/4/25,291.1,10.97
2021/4/26,319.8,10.21
2021/4/27,347.4,10.94
2021/4/28,316.9,10.06
2021/4/29,329.6,10.91
2021/4/30,305.8,10.77
2021/5/1,288.4,10.57
2021/5/2,297.5,10.93
2021/5/3,323.4,10.18
2021/5/4,336,10.17
2021/5/5,357.8,10.95
2021/5/6,346.5,10.48
2021/5/7,351.8,10.29
2021/5/8,330.5,10.89
2021/5/9,297.5,10.18
2021/5/10,351.9,10.03
2021/5/11,361.1,10.03
2021/5/12,366.9,10.01
2021/5/13,368.2,10.03
2021/5/14,334.4,9.02
2021/5/15,350.7,10.33
2021/5/16,330.6,10.19
2021/5/17,143.7,3.84
2021/5/18,309.5,8.3
2021/5/19,288,7.66
2021/5/20,257,6.86
2021/5/21,288.2,7.65
2021/5/22,365.3,10.78
2021/5/23,224.4,6.99
2021/5/24,228.5,6.03
2021/5/25,279.7,7.5
2021/5/26,238.8,6.43
2021/5/27,252.3,6.64
2021/5/28,232.6,6.06
2021/5/29,499,15.85
2021/5/30,360.4,12.62
2021/5/31,407.7,12.12
2021/6/1,356.2,10.45
2021/6/2,398.9,11.18
2021/6/3,379.9,10.38
2021/6/4,372.6,10.22
2021/6/5,398.7,13.27
2021/6/6,406.3,14.89
2021/6/7,460.2,14.01
2021/6/8,377.5,10.83
2021/6/9,391.4,11.08
2021/6/10,375,10.48
2021/6/11,290,8.03
2021/6/12,304.6,9.18
2021/6/13,272.9,8.72
2021/6/14,327.3,10.2
2021/6/15,375,10.08
2021/6/16,371.5,10.1
2021/6/17,383.3,10.11
2021/6/18,384.8,10.1
2021/6/19,468.5,13.85
2021/6/20,415.6,13.08
2021/6/21,398.6,11.08
2021/6/22,358.9,10.11
2021/6/23,390.1,11.54
2021/6/24,469.4,13.88
2021/6/25,558.9,16.62
2021/6/26,420.3,13.68
2021/6/27,432,14.28
2021/6/28,500.5,14.37
2021/6/29,528.2,14.98
2021/6/30,598.7,16.57
2021/7/1,603.9,16.39
2021/7/2,460.2,12.26
2021/7/3,432.6,12.81
2021/7/4,452.5,14.29
2021/7/5,226.9,6.07
2021/7/6,392.4,10.48
2021/7/7,379.9,10.07
2021/7/8,380.5,10.02
2021/7/9,385.8,10.11
2021/7/10,381.1,11.03
2021/7/11,339.4,10.55
2021/7/12,346.4,9.07
2021/7/13,287.2,7.44
2021/7/14,383.3,10.09
2021/7/15,401.3,10.62
2021/7/16,423.5,11.28
2021/7/17,411.3,12.13
2021/7/18,445.7,14.08
2021/7/19,333.8,8.66
2021/7/20,404.3,10.64
2021/7/21,547.6,14.67
2021/7/22,540,14.8
2021/7/23,565.8,15.82
2021/7/24,437.2,14.11
2021/7/25,349.4,10.92
2021/7/26,451.8,11.85
2021/7/27,395,10.17
2021/7/28,303.3,7.85
2021/7/29,383.4,10.05
2021/7/30,383.3,10.35
2021/7/31,520.1,16.55
2021/8/1,548.7,18.26
2021/8/2,451.6,13.02
2021/8/3,559.1,15.78
2021/8/4,449.5,12.49
2021/8/5,452.6,12.81
2021/8/6,463.7,13.66
2021/8/7,343.8,11.58
2021/8/8,406.6,13.48
2021/8/9,484.5,13.78
2021/8/10,489.7,13.49
2021/8/11,597.5,16.38
2021/8/12,595,16.2
2021/8/13,548.1,15.06
2021/8/14,536.4,16.46
2021/8/15,348.3,11.22
2021/8/16,442,11.95
2021/8/17,439.3,11.65
2021/8/18,436.4,11.87
2021/8/19,491.3,13.09
2021/8/20,511.9,13.74
2021/8/21,473.6,14.1
2021/8/22,385.3,12.21
2021/8/23,465.6,12.41
2021/8/24,398.3,10.51
2021/8/25,395.1,10.27
2021/8/26,448.7,11.82
2021/8/27,478.8,12.67
2021/8/28,532.8,15.53
2021/8/29,468.2,14.48
2021/8/30,374.9,10.07
2021/8/31,482.9,12.93
2021/9/1,384.9,10.2
2021/9/2,426.7,11.29
2021/9/3,397,10.49
2021/9/4,514,15.54
2021/9/5,456.3,14.47
2021/9/6,388.3,10.28
2021/9/7,384.3,10.04
2021/9/8,386,10.03
2021/9/9,390.2,10.22
2021/9/10,330.3,8.53
2021/9/11,372,10.13
2021/9/12,400.8,13.4
2021/9/13,384.6,10.49
2021/9/14,395.8,10.4
2021/9/15,389.9,10.18
2021/9/16,484.1,12.9
2021/9/17,464.6,12.4
2021/9/18,460.9,13.68
2021/9/19,315.3,10.08
2021/9/20,691.1,22.14
2021/9/21,655.6,20.84
2021/9/22,381.7,10.07
2021/9/23,313.3,8.23
2021/9/24,445.7,11.81
2021/9/25,534.8,15.9
2021/9/26,320.9,10.23
2021/9/27,439.5,11.82
2021/9/28,526.8,14.25
2021/9/29,484.3,13.03
2021/9/30,521.2,14
2021/10/1,317.5,8.51
2021/10/2,523.5,15.6
2021/10/3,331.7,10.7
2021/10/4,375.6,10.01
2021/10/5,267,7.08
2021/10/6,232.7,6.19
2021/10/7,162.9,4.32
2021/10/8,185.4,4.93
2021/10/9,514.1,15.39
2021/10/10,364.2,11.78
2021/10/11,261.4,8.48
2021/10/12,238.4,6.61
2021/10/13,257.2,7.28
2021/10/14,288.3,8.27
2021/10/15,280.8,7.73
2021/10/16,566.3,17.49
2021/10/17,654.7,23.97
2021/10/18,590.2,18.4
2021/10/19,550.2,16.79
2021/10/20,503,15.11
2021/10/21,604,18.41
2021/10/22,389.9,12.48
2021/10/23,468.3,16.42
2021/10/24,504.9,18.75
2021/10/25,404.3,12.76
2021/10/26,347.1,10.74
2021/10/27,391.5,12.12
2021/10/28,681.7,21.42
2021/10/29,541.2,17.31
2021/10/30,380.6,13.53
2021/10/31,448.7,16.5
2021/11/1,335.7,10.61
2021/11/2,294.9,9.27
2021/11/3,420.6,13.1
2021/11/4,376.7,11.61
2021/11/5,281.8,8.46
2021/11/6,547.1,18.31
2021/11/7,258.4,9.14
2021/11/8,541.7,17.36
2021/11/9,391.4,12.94
2021/11/10,368.5,12.23
2021/11/11,385.7,12.76
2021/11/12,431.9,14.42
2021/11/13,511.7,18.75
2021/11/14,482.8,18.52
2021/11/15,357.1,11.64
2021/11/16,389.9,12.5
2021/11/17,385.8,12.27
2021/11/18,346.6,11.08
2021/11/19,570.4,18.2
2021/11/20,409.5,14.48
2021/11/21,409.8,15.03
2021/11/22,660.8,21.79
2021/11/23,403.6,13.36
2021/11/24,385.9,12.67
2021/11/25,393.7,12.79
2021/11/26,408.9,13.55
2021/11/27,372.7,13.46
2021/11/28,343.5,12.86
2021/11/29,277.3,8.92
2021/11/30,400.7,13.16
2021/12/1,455.6,15.27
2021/12/2,382.1,12.67
2021/12/3,496.7,16.74
2021/12/4,441.8,16.3
2021/12/5,362,13.82
2021/12/6,379.2,12.56
2021/12/7,284.1,9.39
2021/12/8,424.3,14.01
2021/12/9,325.6,10.55
2021/12/10,353.1,11.61
2021/12/11,327.3,11.77
2021/12/12,451.5,17.23
2021/12/13,408.3,13.5
2021/12/14,305,9.92
2021/12/15,268.6,8.67
2021/12/16,286.4,9.23
2021/12/17,661.6,22.08
2021/12/18,427.9,15.88
2021/12/19,342.8,13.14
2021/12/20,264.2,8.7
2021/12/21,286.2,9.31
2021/12/22,305.7,9.94
2021/12/23,242.3,7.81
2021/12/24,319,10.56
2021/12/25,303.5,11.12
2021/12/26,342.9,12.9
2021/12/27,376.8,12.44
2021/12/28,325.3,10.85
2021/12/29,280.7,9.38
2021/12/30,437.6,15.07
2021/12/31,392.7,14.85
2022/01/01,334.5,13.04
2022/01/02,364.1,14.05
2022/01/03,318.4,10.62
2022/01/04,262.0,8.64
2022/01/05,251.2,8.25
2022/01/06,320.9,10.60
2022/01/07,301.0,10.05
2022/01/08,314.7,11.50
2022/01/09,315.8,11.89
2022/01/10,249.1,8.25
2022/01/11,241.3,7.92
2022/01/12,222.0,7.35
2022/01/13,247.5,8.20
2022/01/14,268.1,8.98
2022/01/15,229.3,8.25
2022/01/16,342.9,12.80
2022/01/17,271.5,8.88
2022/01/18,242.5,7.92
2022/01/19,300.2,9.90
2022/01/20,266.0,8.69
2022/01/21,217.9,7.09
2022/01/22,303.2,10.28
2022/01/23,230.1,8.47
2022/01/24,316.7,10.45
2022/01/25,296.3,9.87
2022/01/26,254.9,8.48
2022/01/27,346.3,11.78
2022/01/28,470.0,17.00
2022/01/29,334.6,12.76
2022/01/30,308.7,12.30
2022/01/31,311.1,13.46
2022/02/01,442.1,19.32
2022/02/02,323.2,14.07
2022/02/03,313.5,13.09
2022/02/04,357.7,14.49
2022/02/05,293.0,11.57
2022/02/06,310.8,12.01
2022/02/07,298.6,10.04
2022/02/08,339.5,11.32
2022/02/09,283.3,9.36
2022/02/10,297.2,9.78
2022/02/11,334.3,11.08
2022/02/12,292.1,10.43
2022/02/13,375.7,13.90
2022/02/14,296.6,9.70
2022/02/15,287.7,9.40
2022/02/16,366.5,12.02
2022/02/17,304.3,9.88
2022/02/18,318.4,10.40
2022/02/19,298.9,10.53
2022/02/20,297.2,10.45
2022/02/21,200.6,6.40
2022/02/22,260.3,8.40
2022/02/23,256.7,8.20
2022/02/24,251.1,8.07
2022/02/25,340.6,11.31
2022/02/26,343.7,12.35
2022/02/27,373.0,14.24
2022/02/28,412.7,15.10
2022/03/01,251.0,8.23
2022/03/02,313.5,10.22
2022/03/03,712.6,24.61
2022/03/04,326.1,10.79
2022/03/05,433.8,15.83
2022/03/06,463.2,17.57
2022/03/07,252.7,8.50
2022/03/08,329.0,10.99
2022/03/09,255.0,8.42
2022/03/10,308.8,10.18
2022/03/11,314.8,10.37
2022/03/12,343.8,12.32
2022/03/13,283.9,10.36
2022/03/14,265.9,8.50
2022/03/15,298.6,9.37
2022/03/16,285.9,8.94
2022/03/17,271.2,8.45
2022/03/18,442.4,14.03
2022/03/19,267.5,9.44
2022/03/20,305.0,11.06
2022/03/21,275.1,8.62
2022/03/22,373.5,11.88
2022/03/23,371.7,12.20
2022/03/24,238.1,7.68
2022/03/25,339.4,10.68
2022/03/26,327.7,11.25
2022/03/27,341.4,12.69
